,product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
753,Jump Siyah Erkek Krampon 13256,105.0,0.0,0,noShipping,0,0,enoch_ayakkabıları,0,3
754,Jump 24812 Günlük Cırtlı Kız/Erkek Çocuk Spor Ayakkabı Beyaz,119.0,259.0,54,freeShipping,0,0,Ayakland,100,3
755,KİNETİX BAYAN BAĞSIZCIRTLI PAULET GÜNLÜK KULLANIM SPOR AYAKKABI,149.0,0.0,0,freeShipping,0,0,GELEN-NUR,93,3
756,Papuçcity Free Marka Lacivert Günlük Erkek Spor Ayakkabı,109.0,129.0,15,freeShipping,0,0,PAPUÇCİTY,100,3
757,Slazenger Erkek Spor Ayakkabı Mexican Siyah SA10RE120-500,147.0,184.0,20,noShipping,0,0,CANMERSPOR,99,3
758,KİNETİX FABIO TF HALI SAHA,112.0,141.0,20,freeShipping,0,0,Özyurtlar_Spor,100,3
759,Kinetix Siyah Erkek Günlük Ayakkabı 100356684 Fury Siyah,109.0,114.0,5,freeShipping,0,0,KORAYSPOR,95,3
760,MP 212-2201 Lacivert Halı Saha Erkek Futbol Ayakkabı,129.0,159.0,19,freeShipping,0,0,Ayakcenter,100,3
761,Kinetix IZZO TF 1FX Yeşil Erkek Halı Saha Ayakkabısı,146.0,0.0,0,freeShipping,0,0,FLO,93,3
762,Sportaç Messi One King Orjınal Erkek Halı Saha Ayakkabısı,109.0,248.0,56,freeShipping,0,0,mugesporgiyim,100,3
763,Ayakland 101 Günlük Kemerli Bayan Spor Ayakkabı Siyah,125.0,244.0,49,freeShipping,0,0,Potincim,100,3
764,İmerShoes Bayan Sneaker Spor Ayakkabı Yüksek Taban Siyah - Beyaz,149.0,239.0,38,freeShipping,100,7,imer-tech,100,3
765,Gripy PSMİA040 Kadın Erkek Spor Ayakkabı Sneaker,129.0,169.0,24,freeShipping,0,0,HadoShop,100,3
766,Atil Beyaz Cilt Pudra Detaylı Spor Ayakkabı,108.0,122.0,11,freeShipping,0,0,Pekstil,100,3
